Datum,Team,Mitarbeiter,Personalnummer,Schichttyp,Schichtname
2026-01-01,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-01,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-01,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-01,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-01,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-01,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-01,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-01,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-01,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-01,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-01,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-01,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-01,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-01,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-02,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-02,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-02,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-02,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-02,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-02,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-02,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-02,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-02,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-02,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-02,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-02,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-02,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-02,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-02,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-03,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-03,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-03,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-03,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-03,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-03,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-03,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-04,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-04,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-04,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-04,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-04,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-04,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-04,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-04,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-04,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-05,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-05,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-05,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-05,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-05,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-05,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-05,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-05,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-05,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-05,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-05,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-05,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-05,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-05,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-06,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-06,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-06,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-06,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-06,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-06,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-06,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-06,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-06,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-06,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-06,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-06,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-06,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-06,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-06,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-07,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-07,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-07,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-07,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-07,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-07,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-07,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-07,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-07,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-07,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-07,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-07,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-07,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-08,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-08,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-08,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-08,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-08,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-08,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-08,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-08,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-08,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-08,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-08,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-08,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-08,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-09,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-09,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-09,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-09,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-09,Team 2,Julia Becker,PN006,S,Spätschicht
2026-01-09,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-09,Team 2,Daniel Koch,PN009,S,Spätschicht
2026-01-09,Team 2,Michael Schulz,PN007,S,Spätschicht
2026-01-09,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-09,Team 3,Stefanie Klein,PN012,F,Frühschicht
2026-01-09,Team 3,Maria Lange,PN015,F,Frühschicht
2026-01-09,Team 3,Markus Richter,PN011,F,Frühschicht
2026-01-09,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-09,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-10,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-10,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-10,Team 1,Max Müller,PN001,N,Nachtschicht
2026-01-10,Team 1,Anna Schmidt,PN002,N,Nachtschicht
2026-01-10,Team 1,Peter Weber,PN003,N,Nachtschicht
2026-01-10,Team 2,Sarah Hoffmann,PN008,S,Spätschicht
2026-01-10,Team 2,Thomas Zimmermann,PN010,S,Spätschicht
2026-01-10,Team 3,Nicole Schröder,PN014,F,Frühschicht
2026-01-10,Team 3,Andreas Wolf,PN013,F,Frühschicht
2026-01-11,Team 1,Robert Franke,PN005,S,Spätschicht
2026-01-11,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-01-11,Team 1,Max Müller,PN001,S,Spätschicht
2026-01-11,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-01-11,Team 1,Peter Weber,PN003,S,Spätschicht
2026-01-11,Team 2,Julia Becker,PN006,F,Frühschicht
2026-01-11,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-01-11,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-01-11,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-01-11,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-01-11,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-01-12,Team 1,Robert Franke,PN005,S,Spätschicht
2026-01-12,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-01-12,Team 1,Max Müller,PN001,S,Spätschicht
2026-01-12,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-01-12,Team 1,Peter Weber,PN003,S,Spätschicht
2026-01-12,Team 2,Julia Becker,PN006,F,Frühschicht
2026-01-12,Team 2,Sarah Hoffmann,PN008,F,Frühschicht
2026-01-12,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-01-12,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-01-12,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-01-12,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-01-12,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-01-12,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-01-12,Team 3,Nicole Schröder,PN014,N,Nachtschicht
2026-01-12,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-01-13,Team 1,Robert Franke,PN005,S,Spätschicht
2026-01-13,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-01-13,Team 1,Max Müller,PN001,S,Spätschicht
2026-01-13,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-01-13,Team 1,Peter Weber,PN003,S,Spätschicht
2026-01-13,Team 2,Julia Becker,PN006,F,Frühschicht
2026-01-13,Team 2,Sarah Hoffmann,PN008,F,Frühschicht
2026-01-13,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-01-13,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-01-13,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-01-13,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-01-13,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-01-13,Team 3,Nicole Schröder,PN014,N,Nachtschicht
2026-01-13,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-01-14,Team 1,Robert Franke,PN005,S,Spätschicht
2026-01-14,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-01-14,Team 1,Max Müller,PN001,S,Spätschicht
2026-01-14,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-01-14,Team 1,Peter Weber,PN003,S,Spätschicht
2026-01-14,Team 2,Julia Becker,PN006,F,Frühschicht
2026-01-14,Team 2,Sarah Hoffmann,PN008,F,Frühschicht
2026-01-14,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-01-14,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-01-14,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-01-14,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-01-14,Team 3,Nicole Schröder,PN014,N,Nachtschicht
2026-01-14,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-01-15,Team 1,Robert Franke,PN005,S,Spätschicht
2026-01-15,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-01-15,Team 1,Max Müller,PN001,S,Spätschicht
2026-01-15,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-01-15,Team 1,Peter Weber,PN003,S,Spätschicht
2026-01-15,Team 2,Julia Becker,PN006,F,Frühschicht
2026-01-15,Team 2,Sarah Hoffmann,PN008,F,Frühschicht
2026-01-15,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-01-15,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-01-15,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-01-15,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-01-15,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-01-15,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-01-16,Team 1,Robert Franke,PN005,S,Spätschicht
2026-01-16,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-01-16,Team 1,Max Müller,PN001,S,Spätschicht
2026-01-16,Team 1,Anna Schmidt,PN002,S,Spätschicht
2026-01-16,Team 1,Peter Weber,PN003,S,Spätschicht
2026-01-16,Team 2,Julia Becker,PN006,F,Frühschicht
2026-01-16,Team 2,Sarah Hoffmann,PN008,F,Frühschicht
2026-01-16,Team 2,Daniel Koch,PN009,F,Frühschicht
2026-01-16,Team 2,Michael Schulz,PN007,F,Frühschicht
2026-01-16,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-01-16,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-01-16,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-01-16,Team 3,Markus Richter,PN011,N,Nachtschicht
2026-01-16,Team 3,Nicole Schröder,PN014,N,Nachtschicht
2026-01-16,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-01-17,Team 1,Robert Franke,PN005,S,Spätschicht
2026-01-17,Team 1,Lisa Meyer,PN004,S,Spätschicht
2026-01-17,Team 2,Sarah Hoffmann,PN008,F,Frühschicht
2026-01-17,Team 2,Thomas Zimmermann,PN010,F,Frühschicht
2026-01-17,Team 3,Stefanie Klein,PN012,N,Nachtschicht
2026-01-17,Team 3,Maria Lange,PN015,N,Nachtschicht
2026-01-17,Team 3,Nicole Schröder,PN014,N,Nachtschicht
2026-01-17,Team 3,Andreas Wolf,PN013,N,Nachtschicht
2026-01-18,Team 1,Max Müller,PN001,F,Frühschicht
2026-01-18,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-01-18,Team 1,Peter Weber,PN003,F,Frühschicht
2026-01-18,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-01-18,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-01-18,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-01-18,Team 3,Markus Richter,PN011,S,Spätschicht
2026-01-18,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-01-19,Team 1,Robert Franke,PN005,F,Frühschicht
2026-01-19,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-01-19,Team 1,Max Müller,PN001,F,Frühschicht
2026-01-19,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-01-19,Team 1,Peter Weber,PN003,F,Frühschicht
2026-01-19,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-01-19,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-01-19,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-01-19,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-01-19,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-01-19,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-01-19,Team 3,Maria Lange,PN015,S,Spätschicht
2026-01-19,Team 3,Markus Richter,PN011,S,Spätschicht
2026-01-19,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-01-19,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-01-20,Team 1,Robert Franke,PN005,F,Frühschicht
2026-01-20,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-01-20,Team 1,Max Müller,PN001,F,Frühschicht
2026-01-20,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-01-20,Team 1,Peter Weber,PN003,F,Frühschicht
2026-01-20,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-01-20,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-01-20,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-01-20,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-01-20,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-01-20,Team 3,Maria Lange,PN015,S,Spätschicht
2026-01-20,Team 3,Markus Richter,PN011,S,Spätschicht
2026-01-20,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-01-20,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-01-21,Team 1,Robert Franke,PN005,F,Frühschicht
2026-01-21,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-01-21,Team 1,Max Müller,PN001,F,Frühschicht
2026-01-21,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-01-21,Team 1,Peter Weber,PN003,F,Frühschicht
2026-01-21,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-01-21,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-01-21,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-01-21,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-01-21,Team 3,Maria Lange,PN015,S,Spätschicht
2026-01-21,Team 3,Markus Richter,PN011,S,Spätschicht
2026-01-21,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-01-21,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-01-22,Team 1,Robert Franke,PN005,F,Frühschicht
2026-01-22,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-01-22,Team 1,Max Müller,PN001,F,Frühschicht
2026-01-22,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-01-22,Team 1,Peter Weber,PN003,F,Frühschicht
2026-01-22,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-01-22,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-01-22,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-01-22,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-01-22,Team 3,Maria Lange,PN015,S,Spätschicht
2026-01-22,Team 3,Markus Richter,PN011,S,Spätschicht
2026-01-22,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-01-22,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-01-23,Team 1,Robert Franke,PN005,F,Frühschicht
2026-01-23,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-01-23,Team 1,Max Müller,PN001,F,Frühschicht
2026-01-23,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-01-23,Team 1,Peter Weber,PN003,F,Frühschicht
2026-01-23,Team 2,Julia Becker,PN006,N,Nachtschicht
2026-01-23,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-01-23,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-01-23,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-01-23,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-01-23,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-01-23,Team 3,Maria Lange,PN015,S,Spätschicht
2026-01-23,Team 3,Markus Richter,PN011,S,Spätschicht
2026-01-23,Team 3,Nicole Schröder,PN014,S,Spätschicht
2026-01-23,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-01-24,Team 1,Robert Franke,PN005,F,Frühschicht
2026-01-24,Team 1,Lisa Meyer,PN004,F,Frühschicht
2026-01-24,Team 1,Max Müller,PN001,F,Frühschicht
2026-01-24,Team 1,Anna Schmidt,PN002,F,Frühschicht
2026-01-24,Team 1,Peter Weber,PN003,F,Frühschicht
2026-01-24,Team 2,Sarah Hoffmann,PN008,N,Nachtschicht
2026-01-24,Team 2,Daniel Koch,PN009,N,Nachtschicht
2026-01-24,Team 2,Michael Schulz,PN007,N,Nachtschicht
2026-01-24,Team 2,Thomas Zimmermann,PN010,N,Nachtschicht
2026-01-24,Team 3,Stefanie Klein,PN012,S,Spätschicht
2026-01-24,Team 3,Maria Lange,PN015,S,Spätschicht
2026-01-24,Team 3,Andreas Wolf,PN013,S,Spätschicht
2026-01-25,Team 1,Robert Franke,PN005,N,Nachtschicht
2026-01-25,Team 1,Lisa Meyer,PN004,N,Nachtschicht
2026-01-25,Team 1,Max Müller,PN001,N,Nachtschicht
